Martial Artist Heroine,2
Marriage Ending,2
Map Movement,2
Maid Heroine,2
Mage Protagonist,2
Late Sexual Content,2
Ladder Structure,2
Kidnapping,2
Intrigue,2
Interactive Touching Game,2
Interactive Adventure Game,2
Illness,2
Idol Heroine,2
Hypnotism,2
Homosexual Support Character,2
Hint Corner,2
Highly Animated Sprites,2
High School Student Hero,2
High Amount of Special Effects,2
Heroine with Glasses,2
Heroine with Beauty Mark,2
Heroine With Kansai Accent,2
Hard Science Fiction,2
Gore,2
Fortune-teller Heroine,2
Fighting Protagonist,2
Fictional World,2
Fast Mini-games,2
Extremely (un)Lucky Protagonist,2
Existential Crisis,2
Execution,2
ESP,2
Dramatic Love Triangle,2
Donkan Protagonist,2
Dojikko Heroine,2
Doggy Style,2
Difficulty Settings,2
Destiny,2
Death of Protagonist,2
Courtroom,2
Correct Choice Indicator,2
Condoms,2
Coming-of-Age Drama,2
Colored Texts,2
Colored Name-tags,2
Cliffhanger Ending,2
Classic Tsundere Heroine,2
Children Ending,2
Child Abuse,2
Character Profiles,2
Bullying,2
Boobjob,2
Bodyguard Protagonist,2
Blowjob,2
Blind Choices,2
Bleep Censor,2
Backlog Jump,2
Attempted Suicide,2
Athlete Hero,2
Assassin Protagonist,2
Arrogant Heroine,2
Arranged Marriage,2
Apocalypse,2
Adolescent Romance,2
AI Heroine,2
Writer Heroine,1
Winter,1
Widower Protagonist,1
Wealthy Hero,1
Waitress Heroine,1
Voice Only Parts,1
Violence,1
Villainous Hero,1
Urination Fetish,1
Unrequited Love,1
Unlockable Harem Ending,1
Unique Routes,1
Uncredited Voice Acting,1
Unavoidable Death of Hero,1
Unarmed Fighting Heroine,1
Twin Sister Support Character,1
Tsundere Heroine,1
Tribadism,1
Trapped in Virtual Reality,1
Trap Heroine,1
Traditionalist Family,1
Tomboy Heroine,1
Timid Heroine,1
Time Loop,1
Threesome Ending,1
Thief Heroine,1
Temple,1
Teacher Heroine,1
Tall Heroine,1
Tactician Support Character,1
Tactician Heroine,1
Sword Wielding Protagonist,1
Suicidal Heroine,1
Student Council President Heroine,1
Student Club Member Protagonist,1
Student Club,1
Straight Shotacon,1
Spring,1
Spontaneous Power-ups,1
Spelling Errors,1
Soldier Heroine,1
Societal Collapse,1
Social Networking Service,1
Smoker Heroine,1
Slice of Life Drama,1
Slave Hero,1
Slapstick,1
Skippable Gameplay,1
Sitting Sex,1
Single Footjob,1
Single Boobjob,1
Sickly Protagonist,1
Sickly Heroine,1
Sickly Hero,1
Shotacon,1
Short Sexual Scenes,1
Shapeshifting,1
Sex in Photo Booth,1
Sex in Classroom,1
Seventh Posture,1
Selective Coloring,1
Secret Romance,1
School Nurse Support Character,1
School Festival,1
Scenario Selection,1
Russian Heroine,1
Robots,1
Rifle Combat,1
Rich Protagonist,1
Reverse Trap Heroine,1
Reverse NTR,1
Reverse Missionary,1
Reverse Cowgirl,1
Revenge,1
Redemption,1
Rebellion,1
Read Text Marking,1
Rape,1
Quickie Fix Position,1
Protagonist's Younger Sister as a Heroine,1
Protagonist's Sister-in-Law as a Heroine,1
Protagonist's Sister as a Heroine,1
Protagonist's Senpai as a Heroine,1
Protagonist's Senpai as a Hero,1
Protagonist's Older Sister as a Heroine,1
Protagonist's Non-blood-related Sister as a Heroine,1
Protagonist's Kouhai as a Heroine,1
Protagonist's Ex as a Heroine,1
Protagonist's Childhood Friend as a Hero,1
Protagonist with Sexual Experience,1
Protagonist with Multiple Personalities,1
Protagonist with Glasses,1
Protagonist with Children,1
Protagonist in Relationship,1
Protagonist as the Only Male,1
Protagonist Selection,1
Princess Heroine,1
Pretending Protagonist,1
Pretending Hero,1
Popular Protagonist,1
Poor Protagonist,1
Ponytail Protagonist,1
Polygamy,1
Politics,1
Poetry,1
Pigs,1
Photographer Heroine,1
Pet Support Character,1
Perverted Friend,1
Past,1
Passage of Time,1
Parting Ending,1
Park,1
Paranoia,1
Otaku Hero,1
Orphan Hero,1
Organised Corruption,1
Orekko Heroine,1
Optional Gameplay,1
Onsen,1
Only One Bad Ending,1
On the Run,1
Observer Protagonist,1
Nurse Heroine,1
Nukige,1
Non-blood-related Brother/Sister Incest,1
Non-Erotic Moral Corruption,1
No Protagonist,1
No Opening Movie,1
No Gallery,1
No Common Sense Heroine,1
Nekomimi Heroine,1
Naizuri,1
Muscular Hero,1
Multiple Opening Movies,1
Multiple Credit Rolls,1
Multiple Common Routes,1
Multi-Selection Choices,1
More Than Seven Heroes,1
Modifications,1
Modern Day Earth,1
Model Heroine,1
Mind Screw,1
Military School,1
Military Base,1
Metropolitan Area,1
Mercenary Heroine,1
Medical Doctor Hero,1
Mecha Pilot Protagonist,1
Mecha Pilot Heroine,1
Mecha Combat,1
Mecha,1
Mayadere Heroine,1
Manager Protagonist,1
Maid Support Character,1
Magic/ESP Combat,1
Mage Heroine,1
Long Common Route,1
Lip Sync,1
Lesbian Sex,1
Late Branching Plot,1
Laid-back Heroine,1
Knight Heroine,1
Kemonomimi Heroine,1
Kanji Puns,1
Jump to Prior Choices,1
Jump to Next Choice,1
Jump Scares,1
Jealousy,1
Japanophile Heroine,1
Japanese Idols,1
Island,1
Indecisive Protagonist,1
In-Game Tutorial,1
Horror,1
Homunculus Support Character,1
Homunculus Protagonist,1
High Sexual Content,1
High Amount of Bad Endings,1
Heroine with Visible Panties,1
Heroine with Superpowered Side,1
Heroine with Pubic Hair,1
Heroine with Kimono,1
Heroine with Huge Breasts,1
Heroine with Heterochromia,1
Heroine with Gothic Look,1
Heroine with Eye Covering Hairstyle,1
Heroine with Expressive Ahoge,1
Heroine with Children,1
Heroine with Catsuit,1
Heroine with Bodystocking,1
Heroine with Big Breasts,1
Hero with Glasses,1
Haraguro Hero,1
Handjob,1
Half-Japanese Heroine,1
Hacking,1
Hacker Protagonist,1
Group of Friends,1
Group Sex of Several Females,1
Group Sex of One Male and Several Females,1
Graphic Violence,1
Grandfather Support Character,1
Goddess Heroine,1
Girl x Girl Romance Only,1
Girl x Girl Romance,1
Ghost,1
Genius Support Character,1
Genius Protagonist,1
Gamer Protagonist,1
Gamer Heroine,1
Future Earth,1
Friendship Route,1
Friendship Ending,1
Foreigner Heroine,1
Forced Auto-Read Sections,1
Fingering,1
Figure Skater Heroine,1
Few Event CGs,1
Female Protagonist for a Short Time,1
Female Friend,1
Female Ejaculation,1
Family Life Comedy,1
Extraterrestrial,1
Ejaculation Choice,1
Ear-Cleaning,1
Dystopia,1
Dying Heroine,1
Dungeon Crawling Game,1
Duel,1
Dream,1
Drama Club,1
Double Penetration (Group Sex),1
